Freq,Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Iin),Im(Iin),Re(Iout),Im(Iout),Re(Pin),Im(Pin),Re(Zout),Im(Zout),Re(Pout),Im(Pout),Re(Zin),Im(Zin),Re(Av),Im(Av),Re(Ai),Im(Ai)
Hz,V,V,V,V,A,A,A,A,W,W,Ohms,Ohms,W,W,Ohms,Ohms,L,L,L,L
1.000e+01,4.167e+00,0.000e+00,5.000e-01,0.000e+00,1.667e-02,0.000e+00,6.667e-03,0.000e+00,6.944e-02,0.000e+00,4.219e+01,0.000e+00,3.333e-03,0.000e+00,2.500e+02,0.000e+00,1.200e-01,0.000e+00,4.000e-01,0.000e+00,
1.111e+06,4.167e+00,0.000e+00,5.000e-01,0.000e+00,1.667e-02,0.000e+00,6.667e-03,0.000e+00,6.944e-02,0.000e+00,4.219e+01,0.000e+00,3.333e-03,0.000e+00,2.500e+02,0.000e+00,1.200e-01,0.000e+00,4.000e-01,0.000e+00,
2.222e+06,4.167e+00,0.000e+00,5.000e-01,0.000e+00,1.667e-02,0.000e+00,6.667e-03,0.000e+00,6.944e-02,0.000e+00,4.219e+01,0.000e+00,3.333e-03,0.000e+00,2.500e+02,0.000e+00,1.200e-01,0.000e+00,4.000e-01,0.000e+00,
3.333e+06,4.167e+00,0.000e+00,5.000e-01,0.000e+00,1.667e-02,0.000e+00,6.667e-03,0.000e+00,6.944e-02,0.000e+00,4.219e+01,0.000e+00,3.333e-03,0.000e+00,2.500e+02,0.000e+00,1.200e-01,0.000e+00,4.000e-01,0.000e+00,
4.444e+06,4.167e+00,0.000e+00,5.000e-01,0.000e+00,1.667e-02,0.000e+00,6.667e-03,0.000e+00,6.944e-02,0.000e+00,4.219e+01,0.000e+00,3.333e-03,0.000e+00,2.500e+02,0.000e+00,1.200e-01,0.000e+00,4.000e-01,0.000e+00,
5.556e+06,4.167e+00,0.000e+00,5.000e-01,0.000e+00,1.667e-02,0.000e+00,6.667e-03,0.000e+00,6.944e-02,0.000e+00,4.219e+01,0.000e+00,3.333e-03,0.000e+00,2.500e+02,0.000e+00,1.200e-01,0.000e+00,4.000e-01,0.000e+00,
6.667e+06,4.167e+00,0.000e+00,5.000e-01,0.000e+00,1.667e-02,0.000e+00,6.667e-03,0.000e+00,6.944e-02,0.000e+00,4.219e+01,0.000e+00,3.333e-03,0.000e+00,2.500e+02,0.000e+00,1.200e-01,0.000e+00,4.000e-01,0.000e+00,
7.778e+06,4.167e+00,0.000e+00,5.000e-01,0.000e+00,1.667e-02,0.000e+00,6.667e-03,0.000e+00,6.944e-02,0.000e+00,4.219e+01,0.000e+00,3.333e-03,0.000e+00,2.500e+02,0.000e+00,1.200e-01,0.000e+00,4.000e-01,0.000e+00,
8.889e+06,4.167e+00,0.000e+00,5.000e-01,0.000e+00,1.667e-02,0.000e+00,6.667e-03,0.000e+00,6.944e-02,0.000e+00,4.219e+01,0.000e+00,3.333e-03,0.000e+00,2.500e+02,0.000e+00,1.200e-01,0.000e+00,4.000e-01,0.000e+00,
1.000e+07,4.167e+00,0.000e+00,5.000e-01,0.000e+00,1.667e-02,0.000e+00,6.667e-03,0.000e+00,6.944e-02,0.000e+00,4.219e+01,0.000e+00,3.333e-03,0.000e+00,2.500e+02,0.000e+00,1.200e-01,0.000e+00,4.000e-01,0.000e+00,
